0.000000000000000000e+00	8.935399999999999636e+03	2.577550000000000000e+04	4.908773023850709016e+00
1.000000000000000000e+00	9.158700000000000728e+03	2.555929999999999927e+04	5.251155163757039723e+00
2.000000000000000000e+00	9.156000000000000000e+03	2.656400000000000000e+04	4.723120293440388195e+00
3.000000000000000000e+00	9.107899999999999636e+03	2.888250000000000000e+04	5.413913020132236298e+00
4.000000000000000000e+00	9.398399999999999636e+03	2.842300000000000000e+04	6.110347942970108193e+00
5.000000000000000000e+00	9.734600000000000364e+03	2.809479999999999927e+04	4.991472882853368098e+00
6.000000000000000000e+00	1.005010000000000036e+04	2.764440000000000146e+04	5.619980929827155691e+00
7.000000000000000000e+00	1.042700000000000000e+04	2.726770000000000073e+04	6.356465708539658976e+00
8.000000000000000000e+00	1.068789999999999964e+04	2.687759999999999854e+04	6.690117783630606496e+00
9.000000000000000000e+00	1.087670000000000073e+04	2.666079999999999927e+04	6.316634402413823679e+00
1.000000000000000000e+01	1.158360000000000036e+04	2.578620000000000073e+04	6.468660616983870071e+00
1.100000000000000000e+01	1.189950000000000000e+04	2.537450000000000000e+04	6.843599866908624207e+00
1.200000000000000000e+01	1.054729999999999927e+04	2.903500000000000000e+04	5.486012067737748410e+00
1.300000000000000000e+01	1.094439999999999964e+04	2.832600000000000000e+04	5.489115503488989134e+00
1.400000000000000000e+01	1.145339999999999964e+04	2.768909999999999854e+04	6.518208649766178198e+00
1.500000000000000000e+01	1.191179999999999927e+04	2.707190000000000146e+04	7.333666191390054045e+00
1.600000000000000000e+01	1.293550000000000000e+04	2.586350000000000000e+04	5.396847044934332871e+00
1.700000000000000000e+01	9.866899999999999636e+03	2.565740000000000146e+04	6.003438623840342103e+00
1.800000000000000000e+01	1.043479999999999927e+04	2.552429999999999927e+04	5.842319650649882234e+00
1.900000000000000000e+01	1.084379999999999927e+04	2.564970000000000073e+04	5.755092747230261097e+00
2.000000000000000000e+01	1.310020000000000073e+04	2.701550000000000000e+04	6.470684938856141599e+00
2.100000000000000000e+01	1.261210000000000036e+04	2.765079999999999927e+04	5.020972194912450171e+00
